"","UniProt_Name","protein.ids","majority.protein.ids","peptide.counts..all.","peptide.counts..razor.unique.","peptide.counts..unique.","fasta.headers","number.of.proteins","peptides","razor...unique.peptides","unique.peptides"
"1","A0A024QZP7;P06493;E5RIU6;A0A087WZZ9","A0A024QZP7;P06493;E5RIU6;A0A087WZZ9","A0A024QZP7;P06493;E5RIU6;A0A087WZZ9","7;7;5;5","6;6;4;4","6;6;4;4","Cell division cycle 2, G1 to S and G2 to M, isoform CRA_a;Cyclin-dependent kinase 1;Cyclin-dependent kinase 1 (Fragment);Cyclin-dependent kinase 1",4,7,6,6
"2","A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;A0A2R8Y6A7;A0A2R8YDD0;A0A2R8Y517","A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;A0A2R8Y6A7;A0A2R8YDD0;A0A2R8Y517","A0A024QZX5;A0A087X1N8;P35237;A0A2R8YD12;A0A2R8Y6A7","12;12;12;11;7;1;1","12;12;12;11;7;1;1","11;11;11;10;6;1;1","Serpin B6;Serpin B6;Serpin B6;Serpin B6;Serpin B6 (Fragment)",7,12,12,11
"3","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7BZC3;H7C2D1;C9JZI8;C9JHS7;C9JHZ8;C9JES8;C9JT62;C9JK79;C9JBS3;C9JEJ8;C9JHN6;C9JQ82;C9JMQ6;C9JHS9;C9J739","A0A024R4E5;Q00341;H0Y394;H7C0A4;C9JIZ1;C9J5E5;H7BZC3;H7C2D1;C9JZI8;C9JHS7;C9JHZ8;C9JES8;C9JT62;C9JK79;C9JBS3;C9JEJ8;C9JHN6;C9JQ82;C9JMQ6;C9JHS9;C9J739","A0A024R4E5;Q00341;H0Y394","52;51;39;18;13;11;10;9;8;7;7;7;6;6;5;5;5;4;3;1;1","52;51;39;18;13;11;10;9;8;7;7;7;6;6;5;5;5;4;3;1;1","52;51;39;18;13;11;10;9;8;7;7;7;6;6;5;5;5;4;3;1;1","High density lipoprotein binding protein (Vigilin), isoform CRA_a;Vigilin;Vigilin (Fragment)",21,52,52,52
"4","A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8","A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8","A0A087WZA9;A0A024R4K9;A0A087X266;Q9BXJ8","3;3;3;3","3;3;3;3","3;3;3;3","Transmembrane protein 120A (Fragment);Transmembrane protein 120A;Transmembrane protein 120A;Transmembrane protein 120A",4,3,3,3
"5","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8","A0A024R571;Q9H4M9;C9JC03;C9J2Z4;C9JIJ3;C9IZH1;C9JDQ8","A0A024R571;Q9H4M9;C9JC03;C9J2Z4","20;20;13;12;5;5;4","18;18;11;11;4;4;4","14;14;7;9;2;2;2","EH domain-containing protein 1;EH domain-containing protein 1;EH domain-containing protein 1 (Fragment);EH domain-containing protein 1 (Fragment)",7,20,18,14
"6","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739","A0A024R7W5;A0A087X0Q1;A0A087WY31;Q7Z739","5;5;5;5","2;2;2;2","0;0;0;0","YTH domain family, member 3, isoform CRA_a;YTH domain-containing family protein 3;YTH domain-containing family protein 3;YTH domain-containing family protein 3",4,5,2,0
"7","A0A024RA52;P25787","A0A024RA52;P25787","A0A024RA52;P25787","3;3","3;3","3;3","Proteasome subunit alpha type;Proteasome subunit alpha type-2",2,3,3,3
"8","A0A024RCR6;A0A0G2JK23;P46379;A0A0G2JL47;F6S6P2;X6REW1;A0A0G2JJM1;F6TC96;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341;H0Y4L1;H0Y710","A0A024RCR6;A0A0G2JK23;P46379;A0A0G2JL47;F6S6P2;X6REW1;A0A0G2JJM1;F6TC96;F6UR09;F6U1F2;F6XTU0;A0A0G2JJR8;A0A1B0GX79;F6WML8;F6VEM6;F6X9W3;F6U341;H0Y4L1;H0Y710","A0A024RCR6;A0A0G2JK23;P46379;A0A0G2JL47","7;7;7;5;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1","7;7;7;5;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1","7;7;7;5;3;3;3;2;2;2;2;2;2;2;2;2;2;1;1","BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6;Large proline-rich protein BAG6",19,7,7,7
"9","A0A067XG54;Q8NB49;H7C0E8","A0A067XG54;Q8NB49;H7C0E8","A0A067XG54;Q8NB49","4;4;1","4;4;1","4;4;1","Phospholipid-transporting ATPase;Phospholipid-transporting ATPase IG",3,4,4,4
"10","M0R3B2;A0A075B6F9;Q9Y314;A0A075B797","M0R3B2;A0A075B6F9;Q9Y314;A0A075B797","M0R3B2;A0A075B6F9;Q9Y314;A0A075B797","2;2;2;1","2;2;2;1","2;2;2;1","Nitric oxide synthase-interacting protein (Fragment);Nitric oxide synthase-interacting protein;Nitric oxide synthase-interacting protein;Nitric oxide synthase-interacting protein (Fragment)",4,2,2,2
